"final_date","final_open","final_close","final_high","final_low"
"1/1/2021",28795,32164,32427.5,28320
"1/3/2021 0:15",32169,34500,34888,30475
"1/3/2021 20:00",34491,29081.5,34701.5,27667.5
"1/4/2021 18:30",29063,31888.5,32921,28825.5
"1/5/2021 20:15",31896,35780,36225,31151.5
"1/7/2021 3:30",35782.5,38958.5,40586,34304.5
"1/8/2021 3:00",38966,40864,41254.5,36610.5
"1/8/2021 19:00",40855.5,40332,42128,38639
"1/9/2021 9:00",40340,39402,41551,38576
"1/10/2021 19:45",39390,35323,40200,34783
"1/11/2021 11:30",35285,33579,36425,32394
"1/11/2021 21:45",33582,35819,36400,30335
"1/12/2021 15:15",35822,34413,36700,32383
"1/13/2021 20:00",34430,38772,40220,34041
"1/15/2021 6:00",38775,37170,39766,34369
"1/16/2021 9:00",37181,36164,38015,33807
"1/18/2021 10:00",36202,35066,37936,34771
"1/20/2021 12:00",35054,31450,35997,31018
"1/21/2021 23:30",31475,32188,32807,28815
"1/23/2021 1:45",32194,34513,34902,30929
"1/25/2021 23:00",34513,30620,34661,30365
"1/27/2021 20:30",30613,33958,34000,29288
"1/29/2021 8:15",33974,36166,38750,32012
"1/30/2021 1:15",36129,32977,36547,32215
"2/1/2021 9:30",32965,36659,36947,32859
"2/3/2021 15:00",36656,37843,38879,35622
"2/5/2021 16:15",37838,39349,41050,37264
"2/7/2021 8:15",39346,44139,45223,37380
"2/8/2021 21:30",44147,47022,47674,42664
"2/9/2021 14:15",47045,45200,48371,44110
"2/10/2021 20:45",45185,47958,48694,43716
"2/12/2021 0:15",47943,47940,49300,46171
"2/13/2021 0:30",47974,49410,49578,46231
"2/14/2021 14:15",49438,47817,49914,45913
"2/15/2021 22:45",47808,48483,51000,47122
"2/17/2021 2:30",48492,52499,52800,48201
"2/18/2021 8:45",52500,54522,54950,50759
"2/20/2021 1:15",54521,55699,57657,54000
"2/21/2021 7:30",55700,56295,58577,55150
"2/22/2021 16:30",56295,52979,56328,47616
"2/22/2021 23:30",52992,47471,55050,47394
"2/23/2021 16:30",47417,48697,49616,44777
"2/23/2021 23:30",48671,50482,51473,45215
"2/24/2021 21:15",50469,51111,52178,48000
"2/25/2021 23:15",51111,45450,51456,44100
"2/26/2021 16:15",45486,46523,48488,45078
"2/27/2021 17:15",46514,44435,47899,43536
"2/28/2021 22:45",44433,48882,48997,42553
"3/1/2021 23:30",48893,47352,50495,47145
"3/3/2021 3:15",47351,51422,52705,47091
"3/4/2021 9:15",51422,46900,51834,46700
"3/5/2021 8:30",46897,48777,49500,46237
"3/6/2021 7:30",48792,50697,51452,47061
"3/8/2021 2:45",50690,52454,52693,49350
"3/9/2021 9:15",52448,54062,55975,52448
"3/10/2021 14:45",54061,55621,57500,53806
"3/11/2021 13:15",55614,58047,58335,54307
"3/12/2021 7:15",58063,56531,58285,55000
"3/13/2021 4:30",56528,61227,61368,56099
"3/14/2021 4:15",61230,59837,61925,58737
"3/15/2021 8:45",59836,56786,60743,54764
"3/15/2021 21:45",56791,54853,57327,53267
"3/16/2021 20:45",54842,55117,57328,54130
"3/17/2021 23:15",55107,58408,59705,54684
"3/18/2021 23:30",58408,59078,60200,56244
"3/19/2021 23:45",59078,57721,59999,57597
"3/21/2021 10:45",57706,58094,58220,55490
"3/22/2021 18:15",58079,53354,58500,53089
"3/23/2021 13:30",53323,56529,56725,52948
"3/24/2021 17:30",56525,52398,57258,51471
"3/25/2021 12:30",52398,52145,53227,50446
"3/26/2021 6:45",52153,54919,55650,51243
"3/27/2021 13:30",54927,55224,56790,54050
"3/29/2021 13:15",55224,59225,59567,54980
"3/30/2021 19:45",59220,59267,60029,56927
"4/1/2021 1:15",59267,59845,60445,58000
"4/2/2021 11:00",60107,58149,60233,57839
"4/4/2021 5:00",58136,59294,59299,56505
"4/5/2021 23:00",59370,58371,59689,57269
"4/7/2021 14:15",58365,57271,58474,55490
"4/8/2021 14:15",57271,59117,59295,56364
"4/10/2021 11:45",59116,59806,61750,58300
"4/11/2021 15:00",59805,60114,61565,59266
"4/12/2021 23:45",60168,63705,63895,59706
"4/13/2021 23:45",63709,63943,65163,62666
"4/14/2021 22:00",63924,63319,63943,61100
"4/15/2021 14:15",63319,61511,64000,61002
"4/16/2021 15:30",61518,60797,62600,60041
"4/17/2021 21:30",60807,53643,61299,50041
"4/18/2021 11:45",53656,54636,56675,52496
"4/18/2021 17:30",54592,56860,57400,53155
"4/19/2021 14:15",56852,54913,57649,53647
"4/20/2021 12:15",54898,56969,57240,53353
"4/21/2021 4:45",56969,54859,57270,54270
"4/22/2021 6:15",54859,53358,55532,52468
"4/23/2021 2:15",53376,49988,53608,48672
"4/23/2021 11:30",49973,50119,51307,47500
"4/24/2021 8:30",50124,50323,51094,48733
"4/26/2021",50323,53730,54066,47000
"4/26/2021 22:15",53737,54928,55439,52601
"4/28/2021 1:30",54927,53866,56600,53577
"4/29/2021 13:15",53866,56851,57101,52369
"4/30/2021 23:30",56857,56265,58609,56102
"5/2/2021 17:30",56255,56686,59074,56158
"5/4/2021 8:45",56672,54331,56799,53222
"5/5/2021 3:15",54330,57625,57772,52942
"5/6/2021",57668,55752,58499,55523
"5/7/2021 3:15",55702,58346,58835,55265
"5/8/2021 12:45",58346,57889,59677,57618
"5/9/2021 18:30",57889,57255,59751,56292
"5/10/2021 23:15",57249,54711,58777,53617
"5/11/2021 11:00",54721,56416,58083,54556
"5/12/2021 18:15",56402,52211,56988,51460
"5/13/2021 6:45",52239,49796,52897,46313
"5/13/2021 11:15",49820,48681,51347,48413
"5/14/2021 1:00",48660,50495,51052,46926
"5/14/2021 20:15",50495,49199,51590,47765
"5/15/2021 21:15",49199,48322,49927,46427
"5/16/2021 22:45",48337,46096,48473,43858
"5/17/2021 8:15",46115,45146,46400,42180
"5/17/2021 17:45",45145,42959,45841,42124
"5/18/2021 7:00",42908,43168,45851,42526
"5/18/2021 22:15",43153,41550,43875,41400
"5/19/2021 9:30",41542,39543,41783,38297
"5/19/2021 15:30",39589,31471,40840,29100
"5/19/2021 21:15",31482,40195,40700,31300
"5/20/2021 1:15",40197,39880,40840,34985
"5/20/2021 17:00",39871,41667,42500,38200
"5/21/2021 9:15",41685,37134,41882,36190
"5/22/2021 1:45",37111,37888,38168,33484
"5/22/2021 18:45",37908,33551,38900,33400
"5/23/2021 20:45",33520,35498,36000,31128
"5/24/2021 14:30",35513,39704,39966,35359
"5/25/2021 8:45",39705,40756,40840,36489
"5/26/2021 14:45",40744,39018,40920,37888
"5/27/2021 6:15",39018,36726,40489,36600
"5/28/2021 14:30",36731,34960,37400,34830
"5/29/2021 5:15",34985,34321,37471,33800
"5/30/2021 1:30",34321,36801,36830,33400
"5/31/2021 18:15",36802,36236,37934,35916
"6/1/2021 20:15",36228,38752,38800,35604
"6/3/2021 13:45",38753,36825,39481,35554
"6/4/2021 21:30",36833,35616,37912,34772
"6/6/2021 8:45",35616,34428,36835,33910
"6/8/2021 5:00",34424,31980,34621,30982
"6/9/2021 0:45",31987,35701,36042,31865
"6/9/2021 23:15",35710,36830,37692,35619
"6/10/2021 15:45",36831,37180,38450,35821
"6/11/2021 16:00",37171,34783,37682,34626
"6/12/2021 18:15",34779,39001,39405,34592
"6/14/2021 4:15",38973,40565,41067,38673
"6/14/2021 23:00",40577,40017,40878,39339
"6/15/2021 23:00",40017,39287,41322,38571
"6/17/2021 0:15",39287,38629,39682,38100
"6/18/2021 0:30",38624,36364,38694,36316
"6/19/2021",36370,35900,36744,34759
"6/20/2021 0:45",35900,35093,36186,33290
"6/21/2021 3:30",35093,32321,36145,31688
"6/21/2021 19:45",32332,31428,33252,31156
"6/22/2021 18:15",31430,32680,33463,28796
"6/23/2021 4:30",32681,33562,34800,31730
"6/23/2021 23:15",33572,34821,35055,32318
"6/25/2021 1:15",34821,31970,35500,31915
"6/26/2021 0:30",31954,31069,32700,30101
"6/26/2021 19:00",31087,33125,33469,30486
"6/27/2021 20:15",33132,34460,35356,32408
"6/28/2021 21:00",34452,35811,35879,33955
"6/29/2021 20:30",35806,34660,36612,34421
"6/30/2021 18:15",34650,33596,35210,33000
"7/1/2021 21:45",33597,33465,33966,32680
"7/3/2021 0:45",33466,35656,35700,33028
"7/5/2021 0:30",35657,34746,35968,33083
"7/6/2021 12:45",34753,34638,35100,33480
"7/8/2021 4:00",34620,32702,34638,32054
"7/9/2021 8:15",32701,33698,34250,32262
"7/11/2021 9:30",33698,32980,34685,32657
"7/13/2021 8:15",32980,32790,33349,31575
"7/15/2021 1:45",32794,31850,33187,31027
"7/16/2021 23:00",31850,31780,32444,31156
"7/18/2021 20:15",31780,30627,31925,30404
"7/20/2021 9:30",30628,31374,31609,29254
"7/21/2021 19:00",31375,32101,32981,31320
"7/22/2021 6:30",32109,32410,32925,31718
"7/24/2021 4:15",32420,34192,34845,32363
"7/25/2021 23:15",34183,37979,39863,33974
"7/26/2021 21:15",37980,37184,40600,36777
"7/27/2021 9:15",37182,39919,39947,36410
"7/28/2021 10:00",39908,40430,40969,38798
"7/29/2021 3:15",40430,40360,40699,39190
"7/30/2021 7:30",40340,41887,42455,38352
"7/31/2021 8:30",41887,41599,42624,41050
"8/1/2021 19:45",41593,39583,41839,39250
"8/2/2021 16:45",39584,38637,39967,37936
"8/3/2021 16:30",38639,39093,39150,37472
"8/4/2021 21:30",39099,39313,39986,37267
"8/5/2021 23:30",39314,40620,41390,38570
"8/6/2021 19:45",40607,43548,43972,40326
"8/7/2021 14:15",43548,44539,44852,42444
"8/8/2021 13:30",44543,43828,45400,43313
"8/9/2021 7:45",43831,46373,46488,42748
"8/10/2021 2:45",46381,45553,46790,44872
"8/10/2021 22:00",45571,46367,46777,44670
"8/12/2021 1:00",46366,44158,46724,43834
"8/12/2021 23:00",44131,47840,47975,43698
"8/14/2021 5:30",47847,45942,48310,45619
"8/15/2021 18:45",45932,46363,48105,45500
"8/16/2021 23:45",46368,45715,47194,45200
"8/17/2021 23:45",45714,45336,46219,44224
"8/18/2021 22:45",45329,45579,46074,43808
"8/19/2021 23:30",45599,48862,48910,45440
"8/21/2021 0:15",48862,49201,49875,48264
"8/22/2021 3:30",49193,49895,50000,48091
"8/23/2021 10:00",49938,49230,50594,48800
"8/24/2021 10:30",49230,48074,49892,47812
"8/25/2021 7:30",48074,49087,49303,47132
"8/26/2021 6:15",49087,46956,49378,46260
"8/26/2021 21:00",46958,48326,48463,46254
"8/27/2021 23:30",48327,48618,49724,48021
"8/29/2021 11:00",48584,48228,49448,47650
"8/30/2021 16:45",48227,47776,48759,46704
"8/31/2021 17:00",47784,47718,48300,46533
"9/1/2021 19:30",47718,50019,50100,47290
"9/2/2021 15:00",50029,48911,50467,48338
"9/3/2021 10:30",48915,50615,51133,48835
"9/4/2021 1:15",50621,49878,50673,49371
"9/5/2021 7:15",49877,51718,51999,49448
"9/6/2021 8:30",51717,52006,52288,51036
"9/7/2021 5:15",52006,51131,53000,50500
"9/7/2021 19:00",51130,46704,51217,42700
"9/8/2021",46652,45186,47573,44866
"9/8/2021 15:00",45229,45794,46881,44432
"9/9/2021 11:15",45794,46138,47388,45440
"9/10/2021 17:30",46141,45444,46529,44100
"9/12/2021 3:45",45444,44378,46538,44250
"9/13/2021 15:30",44356,45119,46939,43310
"9/14/2021 5:15",45118,47030,47492,44674
"9/15/2021 12:15",47030,47898,48560,46691
"9/16/2021 18:45",47885,46889,48267,46821
"9/18/2021 2:15",46888,47875,48860,46744
"9/19/2021 11:30",47888,44794,48350,43829
"9/20/2021 15:45",44799,43677,45283,42416
"9/21/2021 3:45",43689,42586,43948,40112
"9/21/2021 22:15",42570,40817,43313,39487
"9/22/2021 7:15",40807,43134,44039,40137
"9/23/2021 3:00",43113,44574,44950,42852
"9/24/2021 4:30",44573,41508,45236,40669
"9/24/2021 19:30",41507,42698,43250,40854
"9/25/2021 19:00",42698,43085,43972,40770
"9/27/2021 8:15",43085,41926,44387,41453
"9/28/2021 16:15",41912,41816,42599,40713
"9/29/2021 23:45",41816,43215,43855,40887
"10/1/2021 1:15",43215,47329,47905,42958
"10/1/2021 20:45",47321,48285,48530,46800
"10/3/2021 4:00",48298,47478,49331,47092
"10/4/2021 23:00",47443,50056,50387,46897
"10/5/2021 21:45",50057,50752,51950,49620
"10/6/2021 18:00",50743,55251,55555,50664
"10/7/2021 4:45",55250,53851,55837,53397
"10/7/2021 23:00",53817,54370,56233,53451
"10/8/2021 22:15",54369,54429,55558,53674
"10/10/2021 10:00",54425,54718,56594,54059
"10/11/2021 8:00",54705,57513,57864,54469
"10/12/2021 4:00",57493,56395,57723,56035
"10/12/2021 23:30",56398,54734,56628,53969
"10/13/2021 15:45",54741,57395,57829,54255
"10/14/2021 7:45",57395,57379,58587,56629
"10/15/2021 3:30",57380,59315,60100,56889
"10/15/2021 19:00",59323,62568,63500,59219
"10/16/2021 4:30",62568,61111,62620,60352
"10/16/2021 22:30",61111,59599,61529,59000
"10/18/2021 4:30",59577,61258,62780,59347
"10/18/2021 18:00",61213,61967,62412,59865
"10/19/2021 7:15",61967,61967,63400,61293
"10/19/2021 22:45",61967,63834,64539,61947
"10/20/2021 19:30",63835,65774,67162,63804
"10/21/2021 4:30",65775,66562,66757,63991
"10/21/2021 17:45",66554,63610,66554,62000
"10/22/2021 0:30",63635,62970,63788,61999
"10/22/2021 18:30",62970,60662,63763,60030
"10/23/2021 2:30",60651,61287,61772,59600
"10/24/2021 0:30",61287,60077,61528,59470
"10/25/2021 0:30",60075,63324,63501,59771
"10/25/2021 23:30",63339,62390,63776,61821
"10/27/2021 0:15",62390,59972,62612,59785
"10/27/2021 16:00",59975,59127,59977,58100
"10/28/2021 4:00",59119,61246,61883,58117
"10/29/2021 0:15",61239,61647,62500,57403
"10/29/2021 11:00",61656,61954,63033,60388
"10/30/2021 9:00",61942,60801,62460,60503
"10/31/2021 17:00",60765,62183,62290,59422
"11/1/2021 15:15",62194,61439,62566,60398
"11/2/2021 8:30",61438,63473,64400,60685
"11/3/2021 2:30",63473,62589,63794,60521
"11/4/2021 2:15",62574,61035,63458,60800
"11/5/2021 1:45",61028,60916,62669,60711
"11/6/2021 7:30",60916,62230,63123,60100
"11/7/2021 18:15",62234,65796,65994,61655
"11/8/2021 14:15",65795,67743,68000,65257
"11/9/2021 7:30",67732,66638,68778,66527
"11/10/2021 0:15",66644,68067,68143,65942
"11/10/2021 22:00",68081,64953,69190,62642
"11/11/2021 5:30",64871,64758,65665,63936
"11/11/2021 20:15",64788,63874,65555,63589
"11/12/2021 18:15",63853,64439,64476,62250
"11/13/2021 5:15",64432,64894,65421,63400
"11/14/2021 10:15",64894,65912,66290,63593
"11/15/2021 10:15",65928,63907,66400,63333
"11/16/2021 5:45",63906,60556,64025,60450
"11/16/2021 12:15",60544,60365,61581,58619
"11/16/2021 19:15",60380,60136,61450,59143
"11/17/2021 9:45",60135,60800,60854,58233
"11/17/2021 20:00",60799,59429,61000,59309
"11/18/2021 17:15",59436,58642,59991,57680
"11/18/2021 23:45",58650,58074,58762,56652
"11/19/2021 4:45",58071,56201,58498,55621
"11/19/2021 14:45",56200,58726,58900,55886
"11/20/2021 9:45",58726,58990,59887,57413
"11/21/2021 17:30",58990,57078,60069,56801
"11/22/2021 13:15",57086,57866,59608,56606
"11/23/2021 0:45",57865,56523,57957,55608
"11/23/2021 13:30",56523,57328,57777,55275
"11/23/2021 23:15",57369,56050,57900,56008
"11/24/2021 22:00",56050,57988,58500,55903
"11/25/2021 19:15",57988,55903,59467,55447
"11/26/2021 16:30",55937,54414,56239,53531
"11/27/2021 0:45",54414,54310,55303,53521
"11/28/2021 5:00",54276,56548,56750,53300
"11/29/2021 6:15",56547,57509,58329,56057
"11/30/2021 1:00",57491,57646,58933,55901
"11/30/2021 19:45",57654,57134,59269,56543
"12/1/2021 6:00",57136,57594,59120,56657
"12/2/2021 3:45",57580,56550,57742,55803
"12/3/2021",56552,56036,57721,55771
"12/4/2021",56014,53515,56021,51596
"12/4/2021 8:30",53515,47604,53601,41762
"12/4/2021 14:00",47642,47495,48111,46164
"12/4/2021 22:45",47499,49073,49779,47494
"12/5/2021 18:00",49087,48893,49730,47777
"12/6/2021 11:15",48893,48714,49500,47149
"12/6/2021 20:45",48714,51198,51500,47849
"12/7/2021 13:15",51182,50623,51993,50038
"12/8/2021 16:15",50623,49651,51300,48640
"12/9/2021 15:00",49668,48259,50415,47319
"12/10/2021 8:45",48260,48060,50235,47251
"12/11/2021 2:30",48064,48822,49347,46773
"12/12/2021 6:00",48822,48850,50835,48414
"12/13/2021 15:30",48856,47188,49218,45678
"12/14/2021 6:15",47176,48514,48704,46279
"12/15/2021 5:45",48536,48122,49283,46569
"12/16/2021 3:30",48110,48345,49527,47720
"12/17/2021 4:30",48364,46754,48422,45401
"12/18/2021 2:30",46754,47643,48105,45500
"12/19/2021 14:00",47657,46076,48405,45789
"12/20/2021 18:15",46097,48591,49100,45550
"12/21/2021 17:15",48584,48622,49599,48297
"12/23/2021 2:45",48622,51122,51418,48064
"12/24/2021 4:00",51141,50669,51860,50443
"12/25/2021 19:00",50669,50659,51330,49458
"12/27/2021 8:45",50661,49811,52150,49761
"12/28/2021 9:45",49787,47884,50002,47651
"12/29/2021 2:45",47884,47586,48158,46595
"12/30/2021 2:00",47578,47579,47915,45875
"12/31/2021 4:00",47579,46002,48584,45925
"1/1/2022 3:45",46030,47120,47987,45666
"1/2/2022 20:15",47120,46118,48080,45700
"1/4/2022 6:15",46119,46332,47550,45471
"1/5/2022 3:15",46319,45775,47090,45529
"1/6/2022 2:15",45751,43238,46451,42500
"1/6/2022 11:15",43255,41852,43572,41500
"1/7/2022 11:45",41848,41337,42869,40655
"1/8/2022",41313,40701,42338,40600
"1/9/2022 3:00",40694,41728,42808,40550
"1/10/2022 9:15",41726,41685,42245,39628
"1/11/2022 1:15",41685,41733,42656,40560
"1/12/2022",41733,43865,44100,41683
"1/12/2022 23:00",43865,42669,44439,42553
"1/14/2022 3:45",42663,42847,43481,41700
"1/15/2022 12:30",42841,42915,43825,42578
"1/17/2022 10:30",42915,41916,42998,41476
"1/18/2022 17:45",41922,41552,42719,41150
"1/19/2022 17:45",41552,42145,42597,41279
"1/20/2022 20:00",42150,40622,43527,40362
"1/21/2022 8:15",40626,38540,41100,38224
"1/21/2022 20:30",38535,36688,39087,36126
"1/22/2022 6:00",36653,35563,37167,35081
"1/22/2022 15:45",35566,34399,36214,33979
"1/23/2022 2:45",34445,35129,36617,34358
"1/24/2022 2:30",35138,33551,36551,33487
"1/24/2022 18:30",33543,35288,35380,32837
"1/25/2022 1:45",35317,36315,37596,35208
"1/25/2022 17:45",36336,37621,37996,35997
"1/26/2022 14:00",37624,38229,38911,37159
"1/27/2022 3:30",38243,36715,38396,35524
"1/27/2022 20:00",36720,37380,37518,35532
"1/28/2022 11:45",37372,37798,38037,36183
"1/29/2022 18:45",37790,36899,38800,36666
"1/31/2022 10:15",36896,38961,39109,36772
"2/1/2022 17:15",38961,38370,39332,38006
"2/2/2022 15:30",38370,36799,38774,36281
"2/3/2022 20:00",36812,37919,38333,36242
"2/4/2022 22:45",37908,41393,41976,37800
"2/5/2022 9:30",41393,41728,42222,40972
"2/7/2022 7:15",41771,43550,44200,41655
"2/8/2022 0:45",43547,43879,45539,43539
"2/8/2022 18:30",43869,44292,44450,42677
"2/9/2022 9:00",44292,44200,44868,43154
"2/10/2022 8:30",44204,44899,45474,43220
"2/10/2022 23:15",44919,43531,45956,42617
"2/11/2022 9:15",43530,42851,43982,42065
"2/12/2022 3:45",42843,42196,43039,41603
"2/13/2022 12:45",42195,42691,42795,41567
"2/14/2022 22:30",42696,44211,44487,41800
"2/15/2022 21:00",44223,43529,44809,43340
"2/16/2022 23:00",43508,42226,44428,42110
"2/17/2022 22:15",42218,40888,42362,40075
"2/18/2022 18:00",40887,39849,40891,39433
"2/19/2022 18:30",39849,38131,40380,37970
"2/21/2022 5:45",38137,38621,39500,37221
"2/21/2022 22:30",38621,37095,39321,36797
"2/22/2022 9:15",37091,38100,38351,36359
"2/23/2022 4:15",38114,37846,39260,37545
"2/24/2022 2:15",37849,34902,37971,34525
"2/24/2022 13:15",34910,35299,35940,34337
"2/24/2022 22:45",35279,38269,39986,35236
"2/25/2022 7:15",38269,38661,39761,38038
"2/26/2022 2:15",38659,38566,40377,38199
"2/27/2022 13:00",38569,37576,39860,36967
"2/28/2022 8:30",37576,40897,41301,37443
"3/1/2022 0:15",40907,43363,44269,40766
"3/1/2022 14:30",43367,43915,44998,42878
"3/2/2022 6:00",43915,44201,45412,43360
"3/2/2022 23:45",44213,42151,44530,42103
"3/4/2022 1:30",42154,41662,42701,40841
"3/4/2022 20:00",41658,38863,41848,38561
"3/5/2022 10:45",38866,38572,39720,38083
"3/7/2022 7:15",38580,37832,39561,37570
"3/8/2022 3:30",37826,38667,39238,37154
"3/9/2022",38670,41531,41902,38140
"3/9/2022 14:15",41530,40962,42651,40847
"3/10/2022 10:00",40953,39075,41088,38543
"3/10/2022 22:30",39080,39540,40273,38240
"3/11/2022 21:15",39511,39122,39730,38306
"3/13/2022 10:15",39123,38756,39345,37555
"3/14/2022 21:30",38774,39182,39941,38100
"3/15/2022 23:15",39168,39319,41743,38805
"3/16/2022 14:00",39315,40895,41222,39275
"3/17/2022 4:00",40907,40449,41500,40165
"3/18/2022 20:15",40450,41895,42444,40287
"3/20/2022 16:00",41895,41020,41967,40490
"3/22/2022 2:15",41030,42721,43400,40856
"3/22/2022 23:15",42721,42525,42898,41758
"3/24/2022 0:15",42516,43823,43874,42045
"3/24/2022 23:30",43838,45033,45142,43613
"3/25/2022 22:00",45045,44746,45132,44015
"3/27/2022 12:00",44746,47322,47766,44461
"3/28/2022 13:15",47317,47549,48238,46783
"3/29/2022 13:15",47549,47176,48147,46549
"3/30/2022 12:45",47186,47414,47740,46820
"3/31/2022 20:45",47414,44963,47646,44795
"4/1/2022 10:15",44960,46300,46736,44222
"4/2/2022 1:30",46300,46193,47234,45550
"4/3/2022 12:15",46193,45645,47499,45560
"4/4/2022 23:15",45640,45785,47224,45125
"4/6/2022 0:45",45785,44153,46200,43775
"4/6/2022 22:30",44153,43228,44444,42714
"4/7/2022 23:45",43230,42940,43981,42380
"4/9/2022 3:00",42922,42018,43419,41777
"4/11/2022 10:30",42017,39605,42363,39239
"4/12/2022 5:45",39601,39406,40746,39141
"4/13/2022 4:15",39407,41328,41555,39266
"4/14/2022 11:15",41335,40319,41412,39548
"4/16/2022 3:45",40318,38967,40724,38524
"4/18/2022 13:30",38975,40803,41292,38793
"4/19/2022 19:30",40802,41376,42208,40667
"4/21/2022 0:45",41362,41754,42988,40808
"4/22/2022 1:15",41748,40300,41937,39716
"4/22/2022 22:15",40305,39581,40341,39152
"4/24/2022 22:15",39579,38754,39948,38151
"4/25/2022 22:00",38744,40226,40813,38634
"4/26/2022 21:30",40226,38340,40282,37677
"4/27/2022 10:15",38336,39325,39500,38282
"4/28/2022 8:45",39325,39970,40400,38880
"4/29/2022 5:15",39979,38397,40000,38161
"4/30/2022 22:30",38398,38990,39176,37380
"5/2/2022 14:15",38990,38426,39200,38043
"5/3/2022 19:00",38427,39004,39109,37501
"5/4/2022 19:00",39008,39584,40044,38593
"5/5/2022 16:30",39584,36302,39623,35830
"5/6/2022 2:45",36328,35479,36664,35237
"5/6/2022 21:45",35486,35317,36422,34750
"5/8/2022 8:30",35317,34036,35360,33651
"5/9/2022 8:00",34043,32775,34241,32600
"5/9/2022 22:30",32772,30559,32848,30305
"5/10/2022 3:30",30583,31456,31908,29720
"5/10/2022 13:15",31456,31322,32671,30840
"5/11/2022 4:00",31339,30213,32200,29969
"5/11/2022 20:45",30213,29943,32039,28977
"5/12/2022 1:30",29973,28290,30300,27689
"5/12/2022 12:00",28275,28014,29036,25333
"5/12/2022 20:15",27994,30289,30999,27708
"5/13/2022 15:45",30290,29076,31002,28764
"5/14/2022 20:45",29076,30906,31491,28575
"5/16/2022 9:30",30906,30178,30906,29040
"5/17/2022 11:30",30178,29521,30759,29411
"5/18/2022 21:00",29510,30094,30219,28611
"5/19/2022 23:30",30099,28788,30757,28730
"5/21/2022 0:45",28775,29903,30300,28680
"5/23/2022 2:00",29904,29312,30659,28988
"5/24/2022 5:15",29319,30090,30215,28630
"5/25/2022 13:15",30090,29200,30124,28836
"5/26/2022 17:45",29199,28838,29768,27956
"5/27/2022 10:15",28838,28572,29356,28250
"5/28/2022 7:45",28573,30364,30417,28485
"5/30/2022 13:15",30364,31712,32222,30250
"5/31/2022 13:30",31714,31138,32400,30923
"6/1/2022 23:00",31133,30057,31207,29291
"6/2/2022 15:30",30051,29690,30700,29401
"6/3/2022 22:00",29669,30917,31170,29241
"6/6/2022 11:00",30917,30158,31749,29930
"6/7/2022 9:15",30163,31339,31588,29163
"6/8/2022 4:30",31355,30467,31536,29800
"6/8/2022 21:45",30474,29721,30887,29530
"6/10/2022 9:00",29740,28948,30450,28705
"6/11/2022 17:15",28947,27501,29166,26848
"6/12/2022 22:45",27498,25781,28308,24845
"6/13/2022 12:15",25787,24286,26218,23413
"6/13/2022 20:15",24304,23599,24309,22501
"6/14/2022 2:30",23606,21493,23760,20787
"6/14/2022 11:00",21494,22102,23444,21272
"6/14/2022 21:00",22109,22119,22772,21306
"6/15/2022 10:00",22125,21400,22130,20041
"6/15/2022 21:30",21404,21866,22425,20198
"6/16/2022 3:30",21866,21033,22960,20830
"6/16/2022 21:45",21016,21055,21431,20188
"6/17/2022 17:15",21073,19414,21189,18700
"6/18/2022 18:30",19416,18527,19480,17578
"6/19/2022 11:30",18523,20464,20710,17924
"6/20/2022 4:45",20461,20294,21068,19612
"6/21/2022 1:15",20301,21588,21646,19807
"6/21/2022 22:00",21603,20780,21705,19931
"6/22/2022 22:30",20790,20517,20877,19696
"6/23/2022 22:45",20521,21020,21449,20155
"6/25/2022 1:00",21019,21260,21888,20888
"6/26/2022 23:30",21254,21046,21549,20482
